Accession,Subtype,Source Location,Locus,Version,Definition,Source,Organism,Sequence Length,GenBank File,source:clone,source:collection_date,source:db_xref,source:geo_loc_name,source:host,source:isolate,source:isolation_source,source:mol_type,source:note,source:organism,source:serotype,source:strain,source:tissue_type
KJ439775,1n,1..9411,KJ439775,KJ439775.1,"Hepatitis C virus isolate QC113, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9403,subtype_files/KJ439775.gb,,,taxon:3052230,Canada,Homo sapiens,QC113,serum of a female immigrant living in Quebec with her origin in Haiti,genomic RNA,genotype: 1,Orthohepacivirus hominis,,,
KJ439781,1n,1..9447,KJ439781,KJ439781.1,"Hepatitis C virus isolate QC74, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9433,subtype_files/KJ439781.gb,,,taxon:3052230,Canada,Homo sapiens,QC74,serum of a female immigrant living in Quebec with her origin in Haiti,genomic RNA,genotype: 1,Orthohepacivirus hominis,,,
KJ439779,1o,1..9413,KJ439779,KJ439779.1,"Hepatitis C virus isolate QC316, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9398,subtype_files/KJ439779.gb,,,taxon:3052230,Canada,Homo sapiens,QC316,serum of a female immigrant living in Quebec with her origin in Cameroon,genomic RNA,genotype: 1,Orthohepacivirus hominis,,,
MH885469,1o,1..9359,MH885469,MH885469.1,"Orthohepacivirus hominis strain DE/17-0414, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9358,subtype_files/MH885469.gb,,2017,taxon:3052230,Germany,Homo sapiens,,dried blood spots,genomic RNA,genotype: 1,Orthohepacivirus hominis,,DE/17-0414,
D00944,2a,1..9589,HPCPOLP,D00944.1,"Hepatitis C virus genomic RNA for polyprotein, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9589,subtype_files/D00944.gb,,,taxon:3052230,,,HC-J6,,genomic RNA,,Orthohepacivirus hominis,,,
AB047639,2a,1..9678,AB047639,AB047639.1,"Hepatitis C virus (isolate JFH-1) genomic RNA, complete genome.",Hepatitis C virus JFH-1,Hepatitis C virus JFH-1 Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9678,subtype_files/AB047639.gb,JFH-1,,taxon:356411,,,,,genomic RNA,isolated from fulminant hepatitis patient/genotype 2a,Hepatitis C virus JFH-1,,,
D10988,2b,1..9511,HPCJ8G,D10988.1,Hepatitis C virus genome.,Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9511,subtype_files/D10988.gb,,,taxon:3052230,,,HC-J8,,genomic RNA,,Orthohepacivirus hominis,,,
AB030907,2b,1..9654,AB030907,AB030907.1,"Hepatitis C virus (isolate JPUT971017) genomic RNA, complete genome.",Hepatitis C virus (isolate JPUT971017),Hepatitis C virus (isolate JPUT971017) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9654,subtype_files/AB030907.gb,,,taxon:356412,,,JPUT971017,,genomic RNA,,Hepatitis C virus (isolate JPUT971017),,MA,
D50409,2c,1..9513,D50409,D50409.1,"Hepatitis C virus (isolate BEBE1) genomic RNA, complete genome.",Hepatitis C virus (isolate BEBE1),Hepatitis C virus (isolate BEBE1) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9513,subtype_files/D50409.gb,,,taxon:356413,,,BEBE1,,genomic RNA,,Hepatitis C virus (isolate BEBE1),,,
JF735114,2d,1..9508,JF735114,JF735114.1,"Hepatitis C virus isolate QC259, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9478,subtype_files/JF735114.gb,,,taxon:3052230,Canada,Homo sapiens,QC259,serum from a patient infected with HCV,genomic RNA,genotype: 2d,Orthohepacivirus hominis,,,
JF735120,2e,1..9825,JF735120,JF735120.1,"Hepatitis C virus isolate QC64, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9820,subtype_files/JF735120.gb,,,taxon:3052230,Canada,Homo sapiens,QC64,serum from a patient infected with HCV,genomic RNA,genotype: 2e,Orthohepacivirus hominis,,,
KC844042,2f,1..9472,KC844042,KC844042.1,"Hepatitis C virus subtype 2f isolate ZS542 polyprotein gene, complete cds.",Hepatitis C virus subtype 2f,Hepatitis C virus subtype 2f Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9440,subtype_files/KC844042.gb,,2010,taxon:44021,China,Homo sapiens,ZS542,,genomic RNA,genotype: 2f,Hepatitis C virus subtype 2f,,,
KC844050,2f,1..9470,KC844050,KC844050.1,"Hepatitis C virus subtype 2f isolate 98799 polyprotein gene, complete cds.",Hepatitis C virus subtype 2f,Hepatitis C virus subtype 2f Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9412,subtype_files/KC844050.gb,,2002,taxon:44021,China,Homo sapiens,98799,,genomic RNA,genotype: 2f,Hepatitis C virus subtype 2f,,,
DQ155561,2i,1..9370,DQ155561,DQ155561.1,"Hepatitis C virus (isolate D54) polyprotein gene, partial cds.",Hepatitis C virus (isolate D54),Hepatitis C virus (isolate D54) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9370,subtype_files/DQ155561.gb,,,taxon:356388,Viet Nam: Ho Chi Minh City,,,blood donor,genomic RNA,genotype: 2i,Hepatitis C virus (isolate D54),,D54,
HM777358,2j,1..9112,HM777358,HM777358.1,"Hepatitis C virus isolate C1799 genotype 2j polyprotein gene, partial cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9112,subtype_files/HM777358.gb,,09-Nov-2006,taxon:3052230,Venezuela,Homo sapiens,C1799,serum,genomic RNA,genotype: 2j,Orthohepacivirus hominis,,,
JF735113,2j,1..9509,JF735113,JF735113.1,"Hepatitis C virus isolate QC232, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9500,subtype_files/JF735113.gb,,,taxon:3052230,Canada,Homo sapiens,QC232,serum from a patient infected with HCV,genomic RNA,genotype: 2j,Orthohepacivirus hominis,,,
AB031663,2k,1..9488,AB031663,AB031663.1,"Hepatitis C virus (isolate VAT96) genomic RNA, complete genome.",Hepatitis C virus (isolate VAT96),Hepatitis C virus (isolate VAT96) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9488,subtype_files/AB031663.gb,,,taxon:356414,,Homo sapiens,HCV VAT96,human serum,genomic RNA,HCV; genotype 2,Hepatitis C virus (isolate VAT96),,,
KC197235,2l,1..9358,KC197235,KC197235.1,"Hepatitis C virus isolate MRS89 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9358,subtype_files/KC197235.gb,,1995,taxon:3052230,France,Homo sapiens,MRS89,plasma,genomic RNA,genotype: 2l,Orthohepacivirus hominis,,,
KC197240,2l,1..9402,KC197240,KC197240.1,"Hepatitis C virus isolate PTR7904 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9402,subtype_files/KC197240.gb,,2008,taxon:3052230,France,Homo sapiens,PTR7904,plasma,genomic RNA,genotype: 2l,Orthohepacivirus hominis,,,
JF735111,2m,1..9618,JF735111,JF735111.1,"Hepatitis C virus isolate QC178, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9610,subtype_files/JF735111.gb,,,taxon:3052230,Canada,Homo sapiens,QC178,serum from a patient infected with HCV,genomic RNA,genotype: 2m,Orthohepacivirus hominis,,,
JX227967,2m,1..9383,JX227967,JX227967.1,"Hepatitis C virus subtype 2m isolate HCV-2m/CA/BID-G1314, complete genome.",Hepatitis C virus subtype 2m,Hepatitis C virus subtype 2m Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9383,subtype_files/JX227967.gb,,,taxon:1094901,Canada,Homo sapiens,HCV-2m/CA/BID-G1314,plasma,genomic RNA,,Hepatitis C virus subtype 2m,,,
FN666428,2q,1..9566,FN666428,FN666428.2,"Hepatitis C virus gene for polyprotein, genomic RNA, subtype 2q, isolate 963.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9558,subtype_files/FN666428.gb,,2002,taxon:3052230,Spain:Barcelona,Homo sapiens,963,host serum,genomic RNA,subtype 2q,Orthohepacivirus hominis,,,
FN666429,2q,1..9398,FN666429,FN666429.1,"Hepatitis C virus partial gene for polyprotein, genomic RNA, subtype 2q, isolate 852.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9398,subtype_files/FN666429.gb,,2001,taxon:3052230,Spain:Barcelona,Homo sapiens,852,host serum,genomic RNA,subtype 2q,Orthohepacivirus hominis,,,
JF735115,2r,1..9512,JF735115,JF735115.1,"Hepatitis C virus isolate QC283, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9501,subtype_files/JF735115.gb,,,taxon:3052230,Canada,Homo sapiens,QC283,serum from a patient infected with HCV,genomic RNA,genotype: 2r,Orthohepacivirus hominis,,,
KC197238,2t,1..9616,KC197238,KC197238.1,"Hepatitis C virus isolate MRS40 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9616,subtype_files/KC197238.gb,,1995,taxon:3052230,France,Homo sapiens,MRS40,plasma,genomic RNA,genotype: 2,Orthohepacivirus hominis,,,
JF735112,2u,1..9520,JF735112,JF735112.1,"Hepatitis C virus isolate QC182, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9512,subtype_files/JF735112.gb,,,taxon:3052230,Canada,Homo sapiens,QC182,serum from a patient infected with HCV,genomic RNA,genotype: 2,Orthohepacivirus hominis,,,
MW041295,2v,1..9403,MW041295,MW041295.1,"Orthohepacivirus hominis isolate 495-05 polyprotein gene, partial cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9403,subtype_files/MW041295.gb,,2005,taxon:3052230,Tunisia,Homo sapiens,495-05,serum,genomic RNA,genotype: 2,Orthohepacivirus hominis,,,
D17763,3a,1..9456,HPCEGS,D17763.1,"Hepatitis C virus (isolate NZL1) genomic RNA, complete genome.",Hepatitis C virus (isolate NZL1),Hepatitis C virus (isolate NZL1) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9456,subtype_files/D17763.gb,,,taxon:356415,,,NZL1,,genomic RNA,,Hepatitis C virus (isolate NZL1),,,
D28917,3a,1..9454,HPCK3A,D28917.1,"Hepatitis C virus (isolate HCV-K3a/650) genomic RNA, complete genome.",Hepatitis C virus (isolate HCV-K3a/650),Hepatitis C virus (isolate HCV-K3a/650) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9454,subtype_files/D28917.gb,,,taxon:356416,,,HCV-K3a/650,,genomic RNA,,Hepatitis C virus (isolate HCV-K3a/650),,K3a,
D49374,3b,1..9444,HPCFG,D49374.1,"Hepatitis C virus (isolate Tr Kj) genomic RNA, complete genome.",Hepatitis C virus (isolate Tr Kj),Hepatitis C virus (isolate Tr Kj) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9444,subtype_files/D49374.gb,,,taxon:357355,,,patient Tr Kj,,genomic RNA,,Hepatitis C virus (isolate Tr Kj),,,
KJ470619,3d,1..9458,KJ470619,KJ470619.1,"Hepatitis C virus isolate NE274, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9406,subtype_files/KJ470619.gb,,,taxon:3052230,Nepal,Homo sapiens,NE274,,genomic RNA,genotype: 3d,Orthohepacivirus hominis,,,
KJ470618,3e,1..9458,KJ470618,KJ470618.1,"Hepatitis C virus isolate NE145, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9454,subtype_files/KJ470618.gb,,,taxon:3052230,Nepal,Homo sapiens,NE145,,genomic RNA,genotype: 3e,Orthohepacivirus hominis,,,
JX227954,3g,1..9353,JX227954,JX227954.1,"Hepatitis C virus subtype 3g isolate HCV-3g/GB/BID-G1243, complete genome.",Hepatitis C virus subtype 3g,Hepatitis C virus subtype 3g Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9353,subtype_files/JX227954.gb,,,taxon:42792,United Kingdom,Homo sapiens,HCV-3g/GB/BID-G1243,plasma,genomic RNA,,Hepatitis C virus subtype 3g,,,
JF735123,3g,1..9634,JF735123,JF735123.1,"Hepatitis C virus isolate QC260, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9631,subtype_files/JF735123.gb,,,taxon:3052230,Canada,Homo sapiens,QC260,serum from a patient infected with HCV,genomic RNA,genotype: 3g,Orthohepacivirus hominis,,,
JF735121,3h,1..9579,JF735121,JF735121.1,"Hepatitis C virus isolate QC29, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9574,subtype_files/JF735121.gb,,,taxon:3052230,Canada,Homo sapiens,QC29,serum from a patient infected with HCV,genomic RNA,genotype: 3h,Orthohepacivirus hominis,,,
FJ407092,3i,1..9433,FJ407092,FJ407092.1,"Hepatitis C virus isolate IND-HCV-3i, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9433,subtype_files/FJ407092.gb,,02-Jun-2002,taxon:3052230,India,Homo sapiens,IND-HCV-3i,serum,genomic RNA,subtype: 3i,Orthohepacivirus hominis,,,
JX227955,3i,1..9352,JX227955,JX227955.1,"Hepatitis C virus subtype 3i isolate HCV-3i/GB/BID-G1244, complete genome.",Hepatitis C virus subtype 3i,Hepatitis C virus subtype 3i Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9352,subtype_files/JX227955.gb,,,taxon:1094895,United Kingdom,Homo sapiens,HCV-3i/GB/BID-G1244,plasma,genomic RNA,,Hepatitis C virus subtype 3i,,,
D63821,3k,1..9450,HPCJK049E1,D63821.1,"Hepatitis C virus (isolate JK049) genomic RNA, complete genome.",Hepatitis C virus (isolate JK049),Hepatitis C virus (isolate JK049) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9450,subtype_files/D63821.gb,,,taxon:356417,,,JK049,,genomic RNA,,Hepatitis C virus (isolate JK049),,,
